,Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%),invalid
262,439,New,TICR_02207_2_TX2,FINAL SH OL STM TEMP 2,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Outlet,Outlet,1,Main Steam,Temperature,3,-,DEG C,-,-,-,-,-,-,Steam Path,530,-,
263,440,New,TICR_02207_3_TX3,FINAL SH OL STM TEMP 3,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Outlet,Outlet,1,Main Steam,Temperature,4,-,DEG C,-,-,-,-,-,-,Steam Path,530,-,
264,88,New,EI_27907,CEP 5A CURRENT,CEP CURRENT,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,Low,-,-,-,Performance KPI,-,-,
265,87,New,TIA02202,CEP A BEARING TEMP,CEP BEARING TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Pump,Pump,1,Bearing,Pump Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,Low,-,-,-,Mechanical,-,-,
266,93,New,TIR01215,CONDENSATE TEMPERATURE AT CEP 5A INLET,CONDENSATE TEMPERATURE AT CEP INLET,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Pump,Pump,1,-,-,-,Inlet,Inlet,1,Condensate,Temperature,1,-,DEG C,-,-,-,-,-,-,Condensate Path,-,-,
267,89,New,CORIOLIS_COND_FLW,CONDENSATE FLOW CEP OL,CONDENSATE FLOW AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Pump,Pump,1,-,-,-,Outlet,Discharge,1,Condensate,Flow,1,-,TPH,-,-,-,-,-,-,Condensate Path,-,-,
268,90,New,FICSR03404,CONDENSATE FLOW CEP OL,CONDENSATE FLOW AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Pump,Pump,1,-,-,-,Outlet,Discharge,1,Condensate,Flow,1,-,TPH,-,-,-,-,-,-,Condensate Path,-,-,
269,91,New,PIRSA02107,CONDENSAE PRES AT CEP OL,CONDENSATE PRESSURE AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5A,1,Pump,Pump,1,-,-,-,Outlet,Outlet,1,Condensate,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Condensate Path,-,-,
270,94,New,TIA02201,CEP B BEARING TEMP,CEP BEARING TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5B,2,Motor,Motor,1,Bearing,Motor Bearing,1,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
271,95,New,EI_27908,CEP 5B CURRENT,CEP CURRENT,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,-,-,-,-,Performance KPI,-,-,
272,97,New,TIR01213,CONDENSATE TEMPERATURE AT CEP 5B INLET,CONDENSATE TEMPERATURE AT CEP INLET,Condensate Cycle,Condensate Cycle,CEP,-,CEP 5B,2,Pump,Pump,1,-,-,-,Inlet,Inlet,1,Condensate,Temperature,1,-,DEG C,-,-,-,-,-,-,Condensate Path,-,-,
273,92,New,TI02203,CONDENSATE HEADER TEMPERATURE,CONDENSATE HEADER TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP Header,-,CEP Header,1,-,-,-,-,-,-,Outlet,Discharge,1,Condensate,Temperature,1,-,DEG C,-,-,-,-,-,-,Condensate Path,-,-,
274,96,New,TI02203,CONDENSATE HEADER TEMPERATURE,CONDENSATE HEADER TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP Header,-,CEP Header,1,-,-,-,-,-,-,Outlet,Discharge,1,Condensate,Temperature,2,-,DEG C,-,-,-,-,-,-,Condensate Path,-,-,Rule-9: Duplicate dataTagId
275,101,New,LICR_01302_FB,HTWL L CV OPEN POS FB,HOT WELL LEVEL VALVE OPEN POSITION,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,Hotwell,Hotwell,1,Control Valve,Control Valve,1,-,-,-,Position,OPEN,1,Feedback,%,-,-,-,-,-,FB,Condensate Path,-,-,
276,100,-,LC_01302,HOT WELL LEVEL,HOT WELL LEVEL,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,Hotwell,Hotwell,1,-,-,-,-,-,-,Condensate,Level,1,-,MM,-,-,-,-600,600,-,Condensate Path,-,-,
277,110,New,PIS01109_E,CW PRS I/L CONDENSOR,COOLING WATER PRESSUREAT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Inlet,Inlet,1,Cooling Water,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Cooling Water Path,-,-,
278,109,New,PIS01108_B,CW IL TO CONDE PRS EAST,COOLING WATER PRESSUREAT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Inlet,Inlet,1,Cooling Water,Pressure,2,-,KG/CM2,-,-,-,-,-,-,Cooling Water Path,-,-,
279,112,New,TIR01201,COOLING WATER TEMPERATURE AT CONDENSOR INLET,COOLING WATER TEMPERATURE AT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Inlet,Inlet,1,Cooling Water,Temperature,1,-,DEG C,-,-,-,-,-,-,Cooling Water Path,32,-,
280,107,New,PI01112,CW OL OF COND PRS,COOLING WATER PRESSUREAT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Outlet,Outlet,1,Cooling Water,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Cooling Water Path,-,-,
281,108,New,PI0113,CW OL PRS AT CONDENSOR,COOLING WATER PRESSUREAT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Outlet,Outlet,1,Cooling Water,Pressure,2,-,KG/CM2,-,-,-,-,-,-,Cooling Water Path,-,-,
282,111,New,TE01217_B,COOLING WATER TEMPERATURE AT CONDENSOR OUTLET,COOLING WATER TEMPERATURE AT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Outlet,Outlet,1,Cooling Water,Temperature,1,-,DEG C,-,-,-,-,-,-,Cooling Water Path,39.2,-,
283,99,-,FICSR03403,CONDENSATE FLOW,CONDENSATE FLOW,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,-,-,-,Condensate,Flow,1,-,TPH,-,-,-,0,550,-,Condensate Path,191.95,-,
284,102,-,MAY91CX210,CONDENSER VACUUM,CONDENSER VACUUM,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,Inlet,Inlet,1,Condensate,Pressure,1,-,BAR A,-,-,-,0,1.2,-,Performance KPI,0.091,-,
285,105,-,PDI01110,WATERBOX DIFFERENTIAL PRESSURE,WATERBOX DIFFERENTIAL PRESSURE,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,-,-,-,Cooling Water,Differential Pressure,1,-,KG/CM2,-,-,-,0,1,-,Cooling Water Path,-,-,
286,106,-,PDI01111,WATERBOX DIFFERENTIAL PRESSURE,WATERBOX DIFFERENTIAL PRESSURE,Condensate Cycle,Condensate Cycle,Condenser,-,Condenser,1,-,-,-,-,-,-,-,-,-,Cooling Water,Differential Pressure,2,-,KG/CM2,-,-,-,0,1,-,Cooling Water Path,-,-,
287,133,-,LICAR_06302,DEAERATOR LEVEL,DEAERATOR LEVEL,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,1,-,-,-,-,-,-,-,-,-,Extraction,Level,1,-,MM,-,-,-,-250,250,-,Performance KPI,-,-,
288,139,-,FICSR03404,FEED WATER FLOW AT DEAERATOR INLET,FEED WATER FLOW AT DEAERATOR INLET,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Feed Water,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,225.79,-,Rule-9: Duplicate dataTagId
289,125,-,PIRSA02107,FEED WATER PRESSURE AT DEAERATOR INLET,FEED WATER PRESSURE AT DEAERATOR INLET,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Feed Water,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
290,140,-,FW_FLOW,FEED WATER FLOW AT DEAERATOR OUTLET,FEED WATER FLOW AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,Feed Water Shell,Feed Water Shell,1,-,-,-,Outlet,Outlet,1,Feed Water,Flow,1,-,TPH,-,-,-,0,450,-,Feed Water Path,282.74,-,Rule-9: Duplicate dataTagId
291,127,-,TR_06205,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,Feed Water Shell,Feed Water Shell,1,-,-,-,Outlet,Outlet,1,Feed Water,Temperature,1,-,DEG C,-,-,-,0,300,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
292,126,New,TI_06212,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,Feed Water Shell,Feed Water Shell,1,-,-,-,Outlet,Outlet,1,Feed Water,Temperature,1,-,DEG C,-,-,-,-,-,-,Feed Water Path,-,-,
293,-,-,LICAR06302.SP,DEAERATOR LOW LEVEL COTROL SP,Deaerator Level Setpoint,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,Emergency Level Control,Emergency Level Control,1,-,-,-,Extraction,Level,1,Setpoint,MMWC,~ -34,-,-,-,-,SP,-,-,-,
294,134,New,LICAR06302_FB,DEA L CV OPEN POS,DEAERATOR LEVEL VALVE OPEN POSITION,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,Level Control Valve,Level Control Valve,1,-,-,-,Position,OPEN,1,Feedback,%,-,-,-,-,-,FB,Performance KPI,-,-,
295,-,-,LC06303.SP,DEAERATOR HIGH LEVEL COTROL SP,Deaerator Level Setpoint,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,Normal Level Control,Normal Level Control,1,-,-,-,Extraction,Level,1,Setpoint,MMWC,~ -24,-,-,-,-,SP,-,-,-,
296,130,New,PI_19117,EXTR3 PRS BEFORE NRV DEARATOR,BLEED TO DEAERATOR PRESSURE BEFORE NRV,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Feed Water Path,8.34,-,
297,131,New,TIR_19208,EXT3 TEMP BEFORE NRV TO DEARATOR,BLEED TO DEAERATOR TEMPERATURE BEFORE NRV,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,-,-,-,Feed Water Path,249.5,-,
298,129,New,PI_06106,DEAERATOR EXTRACTION PRES AFTER NRV,BLEED TO DEAERATOR PRESSURE AFTER NRV,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,-1,1,-,Feed Water Path,7.84,-,
299,132,New,TR06208,DEAERATOR EXTRACTION TMP AFTER NRV,BLEED TO DEAERATOR TEMPERATURE AFTER NRV,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,-1,1,-,Feed Water Path,248.7,-,
300,128,New,FR_06110_FL,STM FLOW TO DEARATOR EXTR,BLEED TO DEAERATOR STEAM FLOW,Condensate Cycle,Condensate Cycle,Deaerator,-,Deaerator,-,-,-,-,NR Valve,NRV,1,-,-,-,Extraction,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,17.82,-,
301,284,-,TR04205,DRAIN CLR OL TO DRIP TMP,CONDENSATE TEMPERATURE AT DRAIN COOLER OUTLET,Condensate Cycle,Condensate Cycle,Drain Cooler,-,Drain Cooler,1,-,-,-,-,-,-,-,-,-,Drip,Temperature,1,-,DEG C,-,-,-,-,-,-,Condensate Path,-,-,
302,283,-,FICSR03404,FEED WATER FLOW AT LPH 1 INLET,FEED WATER FLOW AT LPH INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Condensate,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,225.792,-,Rule-9: Duplicate dataTagId
303,285,-,PIRSA02107,CONDENSATE PRESSURE AT LPH 1 INLET,FEED WATER PRESSURE AT LPH INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Condensate,Pressure,1,-,KG/CM2,-,-,-,0,24,-,Feed Water Path,-,-,Rule-9: Duplicate dataTagId
304,286,-,TI_04206_A,CONDENSATE TEMPERATURE AT LPH 1 INLET,FEED WATER TEMPERATURE AT LPH INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Condensate,Temperature,1,-,DEG C,-,-,-,0,300,-,Feed Water Path,45.2,-,
305,287,-,TI05213,CONDENSATE TEMPERATURE AT LPH 1 OUTLET,FEED WATER TEMPERATURE AT LPH OUTLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,Feed Water Shell,Feed Water Shell,1,-,-,-,Outlet,Outlet,1,Condensate,Temperature,1,-,DEG C,-,-,-,-,-,-,Feed Water Path,72.6,-,
306,292,New,LC05302_FB,LPH1 DRP LVL CONRL VALVE POS,HPH DRIP LEVEL VALVE POSITION,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,Drain Valve,Drain Valve,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,-,-,??,Feed Water Path,-,-,
307,-,-,LCR05302.SP,LPH1 LEVEL CONTROL SP,LPH Level Setpoint,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,Level Controller,Level Controller,1,-,-,-,Extraction,Level,1,Setpoint,MMWC,~ -101,-,-,-,-,SP,-,-,-,
308,288,-,PI_19119_A,BLEED TO LPH 1 PRESSURE BEF NRV,BLEED TO LPH PRESSURE BEFORE NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,-1,1,-,Feed Water Path,0.399,-,
309,291,-,TIR_19210,BLEED TO LPH 1 TEMPERATURE BEF NRV,BLEED TO LPH TEMPERATURE BEFORE NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,0,250,-,Feed Water Path,-,-,
310,289,New,PIR_05110,LPH 1 EXTRACTION PRES AFTER NRV,BLEED TO LPH PRESSURE AFTER NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,-1,1,-,Feed Water Path,0.388,-,
311,290,New,TI_05210,LPH 1 EXTRACTION TMP AFTER NRV,BLEED TO LPH TEMPERATURE AFTER NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,-1,1,-,Feed Water Path,74.6,-,
312,590,-,HRenu_U5_LPH_1_Feed_Water_Enthalpy_at_Inlet,LPH 1 FEED WATER ENTHALPY AT INLET,LPH FEED WATER ENTHALPY AT INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,Inlet,Inlet,1,Feed Water,Enthalpy,1,Derived,KJ/KG,-,-,-,-,-,-,Performance KPI,190.5,-,
313,591,-,HRenu_U5_LPH_1_Feed_Water_Enthalpy_at_Outlet,LPH 1 FEED WATER ENTHALPY AT OUTLET,LPH FEED WATER ENTHALPY AT OUTLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,Outlet,Outlet,1,Feed Water,Enthalpy,1,Derived,KJ/KG,-,-,-,-,-,-,Performance KPI,305.2,-,
314,294,-,TR_05211,LPH 1 DRIP TEMPERATURE,LPH DRIP/DRAIN TEMPERATURE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Drip,Temperature,1,-,DEG C,-,-,-,0,300,-,Performance KPI,-,-,
315,592,-,HRenu_U5_LPH_1_Extraction_from_Turbine_Enthalpy,LPH 1 EXTRACTION FROM TURBINE ENTHALPY,LPH EXTRACTION FROM TURBINE ENTHALPY,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Extraction,Enthalpy,1,Derived,KJ/KG,-,-,-,-,-,-,Performance KPI,2221.4,-,
316,293,-,LCR_05302,LPH 1 LEVEL,LPH LEVEL,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Extraction,Level,1,-,MM,-,-,-,-250,250,-,Performance KPI,-,-,
317,589,-,HRenu_U5_LPH_1_Extraction_Saturation_Temperature,LPH 1 EXTRACTION SATURATION TEMPERATURE,LPH EXTRACTION SATURATION TEMPERATURE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Extraction,Saturation Temperature,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
318,586,-,HRenu_U5_LPH_1_Feed_Water_Pressure_drop,LPH 1 FEED WATER PRESSURE DROP,LPH FEED WATER PRESSURE DROP,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Feed Water,Differential Pressure,1,Derived,KG/CM2,-,-,-,-,-,-,Performance KPI,-,-,
319,593,-,HRenu_U5_LPH_1_Energy_absorbed_by_Feed_Water,LPH 1 ENERGY ABSORBED BY FEED WATER,LPH ENERGY ABSORBED BY FEED WATER,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Feed Water,Energy,1,Derived,MCAL,-,-,-,-,-,-,Performance KPI,-,-,
320,594,-,HRenu_U5_LPH_1_Enthalpy_Rise,LPH 1 ENTHALPY RISE,LPH ENTHALPY RISE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Feed Water,Enthalpy Rise,1,Derived,KCAL/KG,-,-,-,-,-,-,Performance KPI,-,-,
321,585,-,HRenu_U5_LPH_1_Feed_Water_Temperature_rise,LPH 1 FEED WATER TEMPERATURE RISE,LPH FEED WATER TEMPERATURE RISE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,Feed Water,Temperature Difference,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,27.4,-,
322,587,-,HRenu_U5_LPH_1_Drain_Cooler_Approach,LPH 1 DRAIN COOLER APPROACH,LPH DRAIN COOLER APPROACH,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,-,DCA,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
323,588,-,HRenu_U5_LPH_1_TTD,LPH 1 TTD,LPH TTD,Condensate Cycle,Condensate Cycle,LPH,-,LPH 1,1,-,-,-,-,-,-,-,-,-,-,TTD,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
324,295,-,FICSR03404,FEED WATER FLOW AT LPH 2 INLET,FEED WATER FLOW AT LPH INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Feed Water,Flow,1,-,TPH,-,-,-,-,-,-,Feed Water Path,225.79,-,Rule-9: Duplicate dataTagId
325,296,-,TI05213,LPH 2 FEED WATER INLET TEMPERATURE,FEED WATER TEMPERATURE AT LPH INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,Feed Water Shell,Feed Water Shell,1,-,-,-,Inlet,Inlet,1,Feed Water,Pressure,1,-,DEG C,-,-,-,-,-,-,Feed Water Path,72.6,-,Rule-9: Duplicate dataTagId
326,297,-,TR6206,LPH 2 FEED WATER OUTLET TEMPERATURE,FEED WATER TEMPERATURE AT LPH OUTLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,Feed Water Shell,Feed Water Shell,1,-,-,-,Outlet,Outlet,1,Feed Water,Temperature,1,-,DEG C,-,-,-,-,-,-,Feed Water Path,126.8,-,
327,302,New,LC05306_FB,LPH2 DRP LVL CONRL VALVE POS,HPH DRIP LEVEL VALVE POSITION,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,Drain Valve,Drain Valve,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,-,-,FB,Feed Water Path,-,-,
328,-,-,LCR05306.SP,LPH2 LEVEL CONTROL SP,LPH Level Setpoint,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,Level Controller,Level Controller,1,-,-,-,Extraction,Level,1,Setpoint,MMWC,~ -88,-,-,-,-,SP,-,-,-,
329,298,-,PI_19118_A,BLEED TO LPH 2 PRESSURE BEF NRV,BLEED TO LPH PRESSURE BEFORE ISV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,0,6,-,Feed Water Path,2.737,-,
330,301,-,TIR_19209,BLEED TO LPH 2 TEMPERATURE BEF NRV,BLEED TO LPH TEMPERATURE BEFORE NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,NR Valve,NRV,1,Inlet,Inlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,0,800,-,Feed Water Path,-,-,
331,299,New,PIR_05111,LPH 2 EXTRACTION PRES AFTER NRV,BLEED TO LPH PRESSURE AFTER NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Pressure,1,-,KG/CM2,-,-,-,-1,1,-,Feed Water Path,2.655,-,
332,300,New,TI_05215,LPH 2 EXTRACTION TMP AFTER NRV,BLEED TO LPH TEMPERATURE AFTER NRV,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,NR Valve,NRV,1,Outlet,Outlet,1,Extraction,Temperature,1,-,DEG C,-,-,-,-1,1,-,Feed Water Path,128.8,-,
333,600,-,HRenu_U5_LPH_2_Feed_Water_Enthalpy_at_Inlet,LPH 2 FEED WATER ENTHALPY AT INLET,LPH FEED WATER ENTHALPY AT INLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,Inlet,Inlet,1,Feed Water,Enthalpy,1,Derived,KCAL/KG,-,-,-,-,-,-,Performance KPI,-,-,
334,601,-,HRenu_U5_LPH_2_Feed_Water_Enthalpy_at_Outlet,LPH 2 FEED WATER ENTHALPY AT OUTLET,LPH FEED WATER ENTHALPY AT OUTLET,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,Outlet,Outlet,1,Feed Water,Enthalpy,1,Derived,KCAL/KG,-,-,-,-,-,-,Performance KPI,-,-,
335,304,-,TR_05212,LPH 2 DRIP TEMPERATURE,LPH DRIP TEMPERATURE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Drip,Temperature,1,-,DEG C,-,-,-,0,300,-,Performance KPI,-,-,
336,602,-,HRenu_U5_LPH_2_Extraction_from_Turbine_Enthalpy,LPH 2 EXTRACTION FROM TURBINE ENTHALPY,LPH EXTRACTION FROM TURBINE ENTHALPY,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Extraction,Enthalpy,1,Derived,KCAL/KG,-,-,-,-,-,-,Performance KPI,-,-,
337,303,-,LCR_05306,LPH 2 LEVEL,LPH LEVEL,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Extraction,Level,1,-,MM,-,-,-,-250,250,-,Performance KPI,-,-,
338,598,-,HRenu_U5_LPH_2_Extraction_Saturation_Temperature,LPH 2 EXTRACTION SATURATION TEMPERATURE,LPH EXTRACTION SATURATION TEMPERATURE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Extraction,Saturation Temperature,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,642.5,-,
339,596,-,HRenu_U5_LPH_2_Feed_Water_Pressure_drop,LPH 2 FEED WATER PRESSURE DROP,LPH FEED WATER PRESSURE DROP,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Feed Water,Differential Pressure,1,Derived,KG/CM2,-,-,-,-,-,-,Performance KPI,-,-,
340,603,-,HRenu_U5_LPH_2_Energy_absorbed_by_Feed_Water,LPH 2 ENERGY ABSORBED BY FEED WATER,LPH ENERGY ABSORBED BY FEED WATER,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Feed Water,Energy,1,Derived,MCAL,-,-,-,-,-,-,Performance KPI,-,-,
341,604,-,HRenu_U5_LPH_2_Enthalpy_Rise,LPH 2 ENTHALPY RISE,LPH ENTHALPY RISE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Feed Water,Enthalpy Rise,1,Derived,KCAL/KG,-,-,-,-,-,-,Performance KPI,-,-,
342,595,-,HRenu_U5_LPH_2_Feed_Water_Temperature_rise,LPH 2 FEED WATER TEMPERATURE RISE,LPH FEED WATER TEMPERATURE RISE,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,Feed Water,Temperature Difference,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,54.2,-,
343,597,-,HRenu_U5_LPH_2_Drain_Cooler_Approach,LPH 2 DRAIN COOLER APPROACH,LPH DRAIN COOLER APPROACH,Condensate Cycle,Condensate Cycle,LPH,-,LPH 2,2,-,-,-,-,-,-,-,-,-,-,DCA,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
